Team,Finals Appearances,Finals Wins,Finals Losses,GDP,Population,Champion Status
Seattle/2006/NFL,5,3,2,167978707.0,1893955.0,False
Seattle/2014/NFL,5,3,2,218470774.0,2158157.0,True
Green Bay/2011/NFL,1,1,0,14568289.0,430749.0,True
Philadelphia/2018/NFL,6,2,4,105703235.0,1586422.0,True
Philadelphia/2010/NHL,6,2,4,90876161.0,1476001.0,False
Philadelphia/2009/MLB,6,2,4,88891613.0,1469192.0,False
Philadelphia/2008/MLB,6,2,4,92912706.0,1459979.0,True
Philadelphia/2005/NFL,6,2,4,78018970.0,1466715.0,False
Philadelphia/2001/NBA,6,2,4,71022914.0,1500165.0,False
Toronto/2019/NBA,2,2,0,None,None,True
Toronto/2019/MLS,2,2,0,None,None,False
Toronto/2016/MLS,2,2,0,None,None,False
Toronto/2017/MLS,2,2,0,None,None,True
Pittsburgh/2017/NHL,7,5,2,87593885.0,1220423.0,True
Pittsburgh/2016/NHL,7,5,2,85781846.0,1226893.0,True
Pittsburgh/2009/NHL,7,5,2,75526161.0,1225358.0,True
Pittsburgh/2011/NFL,7,5,2,78957815.0,1228437.0,False
Pittsburgh/2009/NFL,7,5,2,75526161.0,1225358.0,True
Pittsburgh/2006/NFL,7,5,2,72693327.0,1229542.0,True
Pittsburgh/2008/NHL,7,5,2,76377174.0,1224542.0,False
Washington DC/2019/MLB,3,3,0,123929268.0,1416506.0,True
Washington DC/2018/NHL,3,3,0,122661859.0,1408294.0,True
Washington DC/2004/MLS,3,3,0,97904523.0,1122950.0,True
Tampa Bay/2020/MLB,6,3,3,83331878.75,1912210.0,False
Tampa Bay/2008/MLB,6,3,3,67475523.0,1591183.0,False
Tampa Bay/2020/NHL,6,3,3,83331878.75,1912210.0,True
Tampa Bay/2004/NHL,6,3,3,63631607.0,1501217.0,True
Tampa Bay/2015/NHL,6,3,3,74101494.0,1773874.0,False
Tampa Bay/2003/NFL,6,3,3,59252571.0,1468044.0,True
Edmonton/2006/NHL,1,0,1,None,None,False
Ottawa/2007/NHL,1,0,1,None,None,False
Vancouver/2011/NHL,1,0,1,None,None,False
Calgary/2004/NHL,1,0,1,None,None,False
Auburn/2013/CF,2,1,1,4700023.0,1154967.0,False
Auburn/2010/CF,2,1,1,4104610.0,935130.0,True
Clemson/2019/CF,4,2,2,3743723.0,179562.0,False
Clemson/2015/CF,4,2,2,3190482.0,172564.0,False
Clemson/2018/CF,4,2,2,3629940.0,177164.0,True
Clemson/2016/CF,4,2,2,3411266.0,174171.0,True
na/2012/CF,24,11,13,None,490374584.0,False
na/2009/CF,24,11,13,None,470404778.0,False
na/2008/CF,24,11,13,None,466697681.0,False
na/2005/CF,24,11,13,None,453231161.0,False
na/2004/CF,24,11,13,None,448697524.0,False
na/2003/CF,24,11,13,None,444100353.0,False
na/2001/CF,24,11,13,None,435482415.0,False
na/2009/NFL,24,11,13,None,470404778.0,False
na/2000/NFL,24,11,13,None,430964899.0,False
na/2008/CF,24,11,13,None,466697681.0,True
na/2006/CF,24,11,13,None,458047335.0,True
na/2005/CF,24,11,13,None,453231161.0,True
na/2004/CF,24,11,13,None,448697524.0,True
na/2000/CF,24,11,13,None,430964899.0,True
na/2007/NHL,24,11,13,None,462491069.0,True
na/2006/NHL,24,11,13,None,458047335.0,True
na/2005/NHL,24,11,13,None,453231161.0,True
na/2005/NHL,24,11,13,None,453231161.0,False
na/2003/NHL,24,11,13,None,444100353.0,False
na/2002/NHL,24,11,13,None,439939304.0,False
na/2003/MLB,24,11,13,None,444100353.0,True
na/2002/MLB,24,11,13,None,439939304.0,True
na/2001/MLB,24,11,13,None,435482415.0,True
na/2000/NBA,24,11,13,None,430964899.0,False
