Team,Finals Appearances,Finals Wins,Finals Losses,GDP,Population,Champion Status
Auburn/2013/CF,2,1,1,4700023,1154967,FALSE
,,,,,,
Auburn/2010/CF,2,1,1,4104610,935130,TRUE
,,,,,,
Clemson/2019/CF,4,2,2,3743723,179562,FALSE
,,,,,,
Clemson/2015/CF,4,2,2,3190482,172564,FALSE
,,,,,,
Clemson/2018/CF,4,2,2,3629940,177164,TRUE
,,,,,,
Clemson/2016/CF,4,2,2,3411266,174171,TRUE
,,,,,,
na/2012/CF,24,11,13,490374584,10357129,FALSE
,,,,,,
na/2009/CF,24,11,13,470404778,470404778,FALSE
,,,,,,
na/2008/CF,24,11,13,466697681,466697681,FALSE
,,,,,,
na/2005/CF,24,11,13,453231161,453231161,FALSE
,,,,,,
na/2004/CF,24,11,13,448697524,448697524,FALSE
,,,,,,
na/2003/CF,24,11,13,444100353,444100353,FALSE
,,,,,,
na/2001/CF,24,11,13,435482415,435482415,FALSE
,,,,,,
na/2009/NFL,24,11,13,470404778,470404778,FALSE
,,,,,,
na/2000/NFL,24,11,13,430964899,430964899,FALSE
,,,,,,
na/2008/CF,24,11,13,466697681,466697681,TRUE
,,,,,,
na/2006/CF,24,11,13,458047335,458047335,TRUE
,,,,,,
na/2005/CF,24,11,13,453231161,453231161,TRUE
,,,,,,
na/2004/CF,24,11,13,448697524,448697524,TRUE
,,,,,,
na/2000/CF,24,11,13,430964899,430964899,TRUE
,,,,,,
na/2007/NHL,24,11,13,462491069,462491069,TRUE
,,,,,,
na/2006/NHL,24,11,13,458047335,458047335,TRUE
,,,,,,
na/2005/NHL,24,11,13,453231161,453231161,TRUE
,,,,,,
na/2005/NHL,24,11,13,453231161,453231161,FALSE
,,,,,,
na/2003/NHL,24,11,13,444100353,444100353,FALSE
,,,,,,
na/2002/NHL,24,11,13,439939304,439939304,FALSE
,,,,,,
na/2003/MLB,24,11,13,444100353,444100353,TRUE
,,,,,,
na/2002/MLB,24,11,13,439939304,439939304,TRUE
,,,,,,
na/2001/MLB,24,11,13,435482415,435482415,TRUE
,,,,,,
na/2000/NBA,24,11,13,430964899,430964899,FALSE
